fname,label,clean,noise desc
1-17124-A-43.wav,car_horn,TRUE,
1-19026-A-43.wav,car_horn,TRUE,
1-24074-A-43.wav,car_horn,TRUE,
1-24076-A-43.wav,car_horn,FALSE,
1-254507-A-43.wav,car_horn,FALSE,
1-26176-A-43.wav,car_horn,TRUE,
1-26177-A-43.wav,car_horn,TRUE,
1-28808-A-43.wav,car_horn,TRUE,
2-100648-A-43.wav,car_horn,FALSE,
2-125520-A-43.wav,car_horn,TRUE,
2-128465-A-43.wav,car_horn,FALSE,
2-128465-B-43.wav,car_horn,FALSE,
2-138465-A-43.wav,car_horn,FALSE,
2-144137-A-43.wav,car_horn,TRUE,
2-42101-A-43.wav,car_horn,FALSE,
2-54086-A-43.wav,car_horn,TRUE,
3-145577-A-43.wav,car_horn,TRUE,
3-146697-A-43.wav,car_horn,FALSE,
3-153057-A-43.wav,car_horn,TRUE,
3-155130-A-43.wav,car_horn,FALSE,
3-155234-A-43.wav,car_horn,FALSE,
3-161010-A-43.wav,car_horn,FALSE,
3-174840-A-43.wav,car_horn,TRUE,
3-243726-A-43.wav,car_horn,TRUE,
4-175845-A-43.wav,car_horn,TRUE,
4-175846-A-43.wav,car_horn,TRUE,
4-175855-A-43.wav,car_horn,TRUE,
4-175856-A-43.wav,car_horn,TRUE,
4-176631-A-43.wav,car_horn,FALSE,
4-176638-A-43.wav,car_horn,TRUE,
4-178402-A-43.wav,car_horn,TRUE,
4-191015-A-43.wav,car_horn,FALSE,
5-179860-A-43.wav,car_horn,TRUE,
5-179863-A-43.wav,car_horn,TRUE,
5-179865-A-43.wav,car_horn,TRUE,
5-179866-A-43.wav,car_horn,TRUE,
5-179868-A-43.wav,car_horn,FALSE,
5-180156-A-43.wav,car_horn,FALSE,
5-180156-B-43.wav,car_horn,FALSE,
5-180156-C-43.wav,car_horn,FALSE,
