fname,label,clean,noise desc
1-101296-A-19.wav,thunder,TRUE,
1-101296-B-19.wav,thunder,FALSE,虫の鳴き声
1-115521-A-19.wav,thunder,TRUE,
1-23222-A-19.wav,thunder,FALSE,ちょっと雨あり
1-23222-B-19.wav,thunder,FALSE,ちょっと雨あり
1-24524-A-19.wav,thunder,TRUE,
1-24524-B-19.wav,thunder,TRUE,
1-24524-C-19.wav,thunder,TRUE,
2-104105-A-19.wav,thunder,FALSE,ちょっと雨あり
2-104105-B-19.wav,thunder,FALSE,ちょっと雨あり
2-39441-A-19.wav,thunder,FALSE,ちょっと雨あり
2-39443-A-19.wav,thunder,TRUE,
2-39443-B-19.wav,thunder,TRUE,
2-39945-A-19.wav,thunder,TRUE,
2-39945-B-19.wav,thunder,TRUE,
2-39945-C-19.wav,thunder,TRUE,
3-103050-A-19.wav,thunder,TRUE,
3-103051-A-19.wav,thunder,TRUE,
3-103051-B-19.wav,thunder,TRUE,
3-103051-C-19.wav,thunder,TRUE,
3-123224-A-19.wav,thunder,FALSE,がっつり雨
3-124600-A-19.wav,thunder,FALSE,がっつり雨
3-144891-A-19.wav,thunder,FALSE,がっつり雨
3-144891-B-19.wav,thunder,FALSE,ちょっと雨あり
4-125070-A-19.wav,thunder,TRUE,
4-125071-A-19.wav,thunder,TRUE,
4-125072-A-19.wav,thunder,TRUE,
4-125072-B-19.wav,thunder,TRUE,
4-156993-A-19.wav,thunder,FALSE,ちょっと雨あり
4-161519-A-19.wav,thunder,TRUE,
4-165813-A-19.wav,thunder,TRUE,
4-165813-B-19.wav,thunder,TRUE,
5-156999-A-19.wav,thunder,TRUE,
5-156999-B-19.wav,thunder,TRUE,
5-156999-C-19.wav,thunder,TRUE,
5-156999-D-19.wav,thunder,TRUE,
5-156999-E-19.wav,thunder,TRUE,
5-188495-A-19.wav,thunder,TRUE,
5-192191-A-19.wav,thunder,TRUE,
5-195557-A-19.wav,thunder,TRUE,
