fname,label,clean,noise desc
1-13571-A-46.wav,church_bells,TRUE,
1-13572-A-46.wav,church_bells,TRUE,
1-21421-A-46.wav,church_bells,TRUE,
1-22804-A-46.wav,church_bells,TRUE,
1-40154-A-46.wav,church_bells,TRUE,
1-48298-A-46.wav,church_bells,TRUE,
1-54747-A-46.wav,church_bells,TRUE,
1-56907-A-46.wav,church_bells,FALSE,birds
2-56926-A-46.wav,church_bells,FALSE,birds
2-57191-A-46.wav,church_bells,TRUE,
2-59565-A-46.wav,church_bells,FALSE,birds
2-59566-A-46.wav,church_bells,TRUE,
2-61618-A-46.wav,church_bells,TRUE,
2-77346-A-46.wav,church_bells,TRUE,
2-77347-A-46.wav,church_bells,TRUE,
2-78381-A-46.wav,church_bells,TRUE,
3-111102-A-46.wav,church_bells,TRUE,
3-111102-B-46.wav,church_bells,FALSE,noisy
3-122110-A-46.wav,church_bells,TRUE,
3-139109-A-46.wav,church_bells,FALSE,chat
3-87936-A-46.wav,church_bells,TRUE,
3-87936-B-46.wav,church_bells,TRUE,
3-98193-A-46.wav,church_bells,TRUE,
3-98869-A-46.wav,church_bells,TRUE,
4-125825-A-46.wav,church_bells,TRUE,
4-125825-B-46.wav,church_bells,TRUE,
4-140034-A-46.wav,church_bells,TRUE,
4-147657-A-46.wav,church_bells,FALSE,noisy
4-147658-A-46.wav,church_bells,TRUE,
4-150364-A-46.wav,church_bells,TRUE,
4-150364-B-46.wav,church_bells,TRUE,
4-156827-A-46.wav,church_bells,TRUE,
5-179294-A-46.wav,church_bells,FALSE,noisy
5-188716-A-46.wav,church_bells,TRUE,
5-197988-A-46.wav,church_bells,TRUE,
5-198373-A-46.wav,church_bells,TRUE,
5-201170-A-46.wav,church_bells,TRUE,
5-201172-A-46.wav,church_bells,FALSE,noisy
5-204741-A-46.wav,church_bells,FALSE,birds
5-219044-A-46.wav,church_bells,FALSE,noisy
