fname,label,clean,noise desc
1-100038-A-14.wav,birds,TRUE,
1-34495-A-14.wav,birds,FALSE,風？
1-34497-A-14.wav,birds,FALSE,風？
1-38559-A-14.wav,birds,TRUE,
1-38560-A-14.wav,birds,TRUE,
1-46040-A-14.wav,birds,TRUE,
1-54918-A-14.wav,birds,FALSE,人の声
1-54918-B-14.wav,birds,FALSE,風？
2-108760-A-14.wav,birds,FALSE,交通騒音
2-108760-B-14.wav,birds,FALSE,交通騒音
2-108761-A-14.wav,birds,FALSE,交通騒音
2-122616-A-14.wav,birds,TRUE,
2-72547-A-14.wav,birds,TRUE,
2-72547-B-14.wav,birds,TRUE,
2-72547-C-14.wav,birds,FALSE,交通騒音
2-72547-D-14.wav,birds,TRUE,
3-155577-A-14.wav,birds,FALSE,交通騒音
3-155578-A-14.wav,birds,FALSE,交通騒音
3-155579-A-14.wav,birds,FALSE,交通騒音
3-155583-A-14.wav,birds,FALSE,交通騒音
3-155584-A-14.wav,birds,FALSE,風？
3-156581-A-14.wav,birds,TRUE,
3-156581-B-14.wav,birds,TRUE,
3-181132-A-14.wav,birds,TRUE,
4-159609-A-14.wav,birds,TRUE,
4-159609-B-14.wav,birds,TRUE,
4-182795-A-14.wav,birds,TRUE,
4-187769-A-14.wav,birds,FALSE,交通騒音
4-187769-B-14.wav,birds,FALSE,交通騒音
4-216211-A-14.wav,birds,TRUE,
4-223125-A-14.wav,birds,FALSE,機械音がする
4-223127-A-14.wav,birds,FALSE,暗騒音大きい
5-242490-A-14.wav,birds,TRUE,
5-242491-A-14.wav,birds,TRUE,
5-243448-A-14.wav,birds,TRUE,
5-243449-A-14.wav,birds,TRUE,
5-243450-A-14.wav,birds,TRUE,
5-243459-A-14.wav,birds,TRUE,
5-243459-B-14.wav,birds,TRUE,
5-257839-A-14.wav,birds,FALSE,何かのピコピコする音が入っている
